epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,323.756,1.10295,0.65175,0.00637,0.75915,0.67285,0.69967,0.45525,1.34477,0.76305,0.0114,0.000317025,0.000317025,0.000317025
55,329.748,1.0842,0.64592,0.00633,0.82662,0.6596,0.72006,0.47311,1.34038,0.73588,0.01143,0.000310422,0.000310422,0.000310422
56,335.583,1.08307,0.65084,0.00624,0.81807,0.65867,0.71797,0.4699,1.33704,0.72543,0.01136,0.000303818,0.000303818,0.000303818
57,341.504,1.08916,0.64213,0.0063,0.81515,0.6417,0.71941,0.47173,1.32955,0.71978,0.01124,0.000297215,0.000297215,0.000297215
58,347.377,1.07022,0.61698,0.00612,0.82143,0.65893,0.70498,0.46338,1.33151,0.7343,0.01125,0.000290612,0.000290612,0.000290612
59,353.462,1.0786,0.6343,0.00626,0.79613,0.6655,0.7096,0.46326,1.33302,0.71656,0.01129,0.000284009,0.000284009,0.000284009
60,359.338,1.07848,0.62471,0.00623,0.80519,0.64316,0.7114,0.46011,1.34501,0.7541,0.01138,0.000277405,0.000277405,0.000277405
61,365.211,1.06746,0.60442,0.00607,0.83679,0.6284,0.72037,0.46943,1.34758,0.73032,0.01138,0.000270802,0.000270802,0.000270802
62,371.078,1.06276,0.60497,0.00594,0.83004,0.63419,0.7158,0.46695,1.34547,0.75359,0.01134,0.000264199,0.000264199,0.000264199
63,377.048,1.05687,0.61143,0.00605,0.80203,0.65333,0.72694,0.46938,1.34454,0.75092,0.01139,0.000257595,0.000257595,0.000257595
64,382.905,1.06537,0.60098,0.00617,0.83522,0.64972,0.76003,0.48041,1.34488,0.75639,0.01148,0.000250992,0.000250992,0.000250992
65,388.794,1.06159,0.595,0.00615,0.81845,0.67135,0.82345,0.51097,1.33833,0.75252,0.01132,0.000244389,0.000244389,0.000244389
66,394.656,1.05608,0.59305,0.00606,0.64076,0.84272,0.8217,0.52468,1.33493,0.74977,0.01128,0.000237785,0.000237785,0.000237785
67,400.558,1.07384,0.58363,0.00611,0.80064,0.64311,0.81408,0.50583,1.33252,0.75281,0.01131,0.000231182,0.000231182,0.000231182
68,406.512,1.06353,0.58495,0.0061,0.65172,0.82784,0.81015,0.50325,1.34652,0.74832,0.01138,0.000224579,0.000224579,0.000224579
69,412.398,1.04487,0.5895,0.00602,0.7261,0.79386,0.81817,0.51043,1.34547,0.75995,0.01141,0.000217976,0.000217976,0.000217976
70,418.279,1.04668,0.56919,0.00601,0.73119,0.77334,0.80051,0.49509,1.35311,0.76976,0.0115,0.000211372,0.000211372,0.000211372
71,424.153,1.03283,0.56825,0.00583,0.68484,0.83763,0.82572,0.51043,1.34406,0.73536,0.01142,0.000204769,0.000204769,0.000204769
72,430.016,1.04209,0.56835,0.00586,0.79025,0.78986,0.8245,0.51068,1.34955,0.75424,0.01142,0.000198166,0.000198166,0.000198166
73,435.983,1.04325,0.57737,0.00594,0.75881,0.80749,0.8269,0.52108,1.34728,0.73492,0.01138,0.000191562,0.000191562,0.000191562
74,441.828,1.03681,0.56978,0.00596,0.79053,0.79449,0.82178,0.49794,1.35108,0.74155,0.01147,0.000184959,0.000184959,0.000184959
75,447.679,1.04298,0.56623,0.00591,0.69484,0.83127,0.81531,0.50502,1.34163,0.7687,0.01134,0.000178356,0.000178356,0.000178356
76,453.544,1.01073,0.54972,0.00591,0.80048,0.76949,0.81719,0.50557,1.34647,0.77145,0.01141,0.000171752,0.000171752,0.000171752
77,459.637,1.03484,0.55877,0.00585,0.81781,0.73987,0.81629,0.49771,1.3508,0.76924,0.01149,0.000165149,0.000165149,0.000165149
78,465.609,1.03535,0.55665,0.00586,0.84614,0.75238,0.82035,0.49736,1.34138,0.76076,0.01128,0.000158546,0.000158546,0.000158546
79,471.526,1.01349,0.55716,0.00574,0.83374,0.75421,0.82852,0.51643,1.34568,0.736,0.01135,0.000151943,0.000151943,0.000151943
80,477.364,1.01143,0.53943,0.00575,0.82231,0.75687,0.81952,0.4938,1.34552,0.74681,0.01134,0.000145339,0.000145339,0.000145339
81,483.213,1.0186,0.54177,0.00572,0.8195,0.74874,0.81285,0.50727,1.34584,0.76338,0.01134,0.000138736,0.000138736,0.000138736
82,489.196,1.01988,0.54332,0.00565,0.84284,0.74184,0.81974,0.49928,1.35041,0.76049,0.01139,0.000132133,0.000132133,0.000132133
83,495.064,1.02267,0.54749,0.00575,0.84438,0.74276,0.81429,0.49265,1.34974,0.76181,0.01138,0.000125529,0.000125529,0.000125529
84,500.969,1.01145,0.53782,0.0058,0.78776,0.77156,0.81404,0.50454,1.35223,0.76002,0.0114,0.000118926,0.000118926,0.000118926
85,506.901,1.02152,0.53576,0.00575,0.80862,0.76848,0.81897,0.49456,1.35226,0.76034,0.01142,0.000112323,0.000112323,0.000112323
86,512.926,1.0112,0.53976,0.00568,0.80986,0.75436,0.81429,0.49575,1.34891,0.75466,0.01139,0.00010572,0.00010572,0.00010572
87,518.855,1.00549,0.52772,0.00564,0.83853,0.74655,0.81631,0.50657,1.34994,0.75803,0.01137,9.91162e-05,9.91162e-05,9.91162e-05
88,524.706,0.99256,0.5409,0.00563,0.82426,0.7628,0.81655,0.49554,1.34686,0.76051,0.01137,9.25129e-05,9.25129e-05,9.25129e-05
89,530.605,1.01127,0.53544,0.00572,0.83189,0.76359,0.81619,0.49569,1.34807,0.75416,0.01138,8.59096e-05,8.59096e-05,8.59096e-05
90,536.476,1.01729,0.54007,0.00573,0.84669,0.74205,0.81994,0.50876,1.34692,0.75865,0.01137,7.93063e-05,7.93063e-05,7.93063e-05
91,543.05,1.01528,0.5052,0.0066,0.7539,0.76879,0.80155,0.49106,1.35718,0.78515,0.01145,7.2703e-05,7.2703e-05,7.2703e-05
92,548.651,0.98346,0.4567,0.00629,0.79643,0.75623,0.81222,0.48619,1.36217,0.78131,0.01154,6.60997e-05,6.60997e-05,6.60997e-05
93,554.238,0.9774,0.441,0.00617,0.78626,0.7772,0.81278,0.49707,1.35944,0.78095,0.01146,5.94964e-05,5.94964e-05,5.94964e-05
94,559.808,0.96626,0.43641,0.00613,0.80228,0.77254,0.81367,0.49775,1.35485,0.76788,0.01143,5.28931e-05,5.28931e-05,5.28931e-05
95,565.515,0.96279,0.43253,0.00625,0.79319,0.77719,0.80941,0.4975,1.35935,0.78061,0.01148,4.62898e-05,4.62898e-05,4.62898e-05
96,571.096,0.97088,0.4329,0.00617,0.80663,0.77321,0.81061,0.49781,1.35638,0.76901,0.01145,3.96865e-05,3.96865e-05,3.96865e-05
97,576.719,0.968,0.43175,0.00615,0.80632,0.75106,0.81007,0.48491,1.35532,0.78163,0.01144,3.30832e-05,3.30832e-05,3.30832e-05
98,582.377,0.96086,0.42735,0.00611,0.8029,0.75755,0.80937,0.49846,1.35072,0.78835,0.0114,2.64799e-05,2.64799e-05,2.64799e-05
99,588.119,0.96055,0.42443,0.00611,0.78703,0.77492,0.8111,0.48821,1.35247,0.77798,0.01141,1.98766e-05,1.98766e-05,1.98766e-05
100,593.72,0.96009,0.43585,0.00607,0.80161,0.76287,0.81293,0.49004,1.35222,0.77674,0.01141,1.32733e-05,1.32733e-05,1.32733e-05
